Animalia ,Arthropoda,Arachnida,Araneae,Symphytognathidae,Anapistula,guyri,,Anapistula guyri ,"Anapistula guyri Rheims & Brescovit, 2003",Aranha-de-teia-de-solo,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Avicularia,ancylochira,,Avicularia ancylochira ,"Avicularia ancylochira Mello-Leitão, 1923",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Avicularia,diversipes,,Avicularia diversipes ,"Avicularia diversipes (C.L. Koch, 1842)",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Avicularia,gamba,,Avicularia gamba ,"Avicularia gamba Bertani & Fukushima, 2009",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Avicularia,sooretama,,Avicularia sooretama ,"Avicularia sooretama Bertani & Fukushima, 2009",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Ephebopus,murinus,,Ephebopus murinus ,"Ephebopus murinus (Walckenaer, 1837)",Tarântula-esqueleto,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Iridopelma,hirsutum,,Iridopelma hirsutum ,"Iridopelma hirsutum Pocock, 1901",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Iridopelma,katiae,,Iridopelma katiae ,"Iridopelma katiae Bertani, 2012",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Iridopelma,marcoi,,Iridopelma marcoi ,"Iridopelma marcoi Betani, 2012",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Iridopelma,oliveirai,,Iridopelma oliveirai ,"Iridopelma oliveirai Bertani, 2012",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Iridopelma,vanini,,Iridopelma vanini ,"Iridopelma vanini Bertani, 2012",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Iridopelma,zorodes,,Iridopelma zorodes ,"Iridopelma zorodes (Mello-Leitão, 1926)",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Megaphobema,teceae,,Megaphobema teceae ,"Megaphobema teceae Perez-Milles, Miglio & Bonaldo, 2006",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Oligoxystre,diamantinensis,,Oligoxystre diamantinensis ,"Oligoxystre diamantinensis Bertani, Santos & Righi, 2009",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Pterinopelma,sazimai,,Pterinopelma sazimai ,"Pterinopelma sazimai Bertani, Nagahama & Fukushima, 2011",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Pterinopelma,vitiosum,,Pterinopelma vitiosum ,"Pterinopelma vitiosum (Keyserling, 1891)",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Tmesiphantes,amadoi,,Tmesiphantes amadoi ,"Tmesiphantes amadoi Yamamoto, Lucas, Guadanucci & Indicatti, 2007",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Tmesiphantes,bethaniae,,Tmesiphantes bethaniae ,"Tmesiphantes bethaniae Yamamoto, Lucas, Guadanucci & Indicatti, 2007",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Tmesiphantes,caymmii,,Tmesiphantes caymmii ,"Tmesiphantes caymmii Yamamoto, Lucas, Guadanucci & Indicatti, 2007",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Tmesiphantes,hypogeus,,Tmesiphantes hypogeus ,"Tmesiphantes hypogeus Bertani, Bichuette & Pedroso, 2013",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Typhochlaena,amma,,Typhochlaena amma ,"Typhochlaena amma Bertani, 2012",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Typhochlaena,curumim,,Typhochlaena curumim ,"Typhochlaena curumim Bertani, 2013",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Typhochlaena,paschoali,,Typhochlaena paschoali ,"Typhochlaena paschoali Bertani, 2012",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theraphosidae,Typhochlaena,seladonia,,Typhochlaena seladonia ,"Typhochlaena seladonia C. L. Koch, 1841",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Theridiidae,Paratheridula,perniciosa,,Paratheridula perniciosa ,"Paratheridula perniciosa (Keyserling, 1886)",Desconhecido,,,
Animalia ,Arthropoda,Arachnida,Araneae,Titanoecidae,Goeldia,zyngierae,,Goeldia zyngierae ,"Goeldia zyngierae Almeida-Silva, Brescovit & Dias, 2009",Desconhecido,,,
